Search String,Search Engine,Link,Title,Time stamp,Media name
Tata Lawsuits,google,https://www.business-standard.com/technology/tech-news/it-services-focus-on-building-ip-and-platforms-may-trigger-more-lawsuits-124100901370_1.html,IT services' focus on building IP and platforms may trigger more lawsuits,10 Oct 2024,Business Standard
Tata Lawsuits,google,https://indianexpress.com/article/business/ratan-tata-singur-mistry-tata-tapes-wadia-controversies-9613283/,"From Singur, Mistry, Tata Tapes to Wadia: 5 controversies during Ratan Tata’s tenure",11 Oct 2024,The Indian Express
Tata Lawsuits,google,https://www.cardekho.com/india-car-news/mahindra-responds-to-indigos-lawsuit-for-using-the-6e-term-in-be-6e-branding-33603.htm,IndiGo Files Trademark Infringement Claim Against Mahindra For ‘6e’ Branding; Automaker Responds,3 Dec 2024,CarDekho
Tata Lawsuits,google,https://timesofindia.indiatimes.com/technology/tech-news/more-than-20-fired-americans-workers-of-tcs-have-sued-the-company-what-are-the-allegations-and-it-giants-response/articleshow/108906267.cms,"More than 20 fired American workers have sued TCS, why and IT giant's response",31 Mar 2024,Times of India
Tata Lawsuits,google,https://news.bloomberglaw.com/daily-labor-report/tata-fired-white-us-workers-in-favor-of-visa-holders-suit-says,"Tata Fired White US Workers in Favor of Visa Holders, Suit Says",9 Apr 2024,Bloomberg Law News
Tata Lawsuits,google,https://www.wsj.com/business/fired-americans-say-indian-firm-gave-their-jobs-to-h-1b-visa-holders-6da7cf26,Exclusive | Fired Americans Say Indian Firm Gave Their Jobs to H-1B Visa Holders,29 Mar 2024,WSJ
Tata Lawsuits,google,https://m.economictimes.com/tech/information-tech/tcs-fined-rs-1600-crore-by-us-court-in-dxc-case/articleshow/111013835.cms,"TCS fined Rs 1,600 crore by US court for misappropriation of trade secrets",15 Jun 2024,The Economic Times
Tata Lawsuits,google,https://www.outlookbusiness.com/news/tcs-asked-to-pay-210-million-fine-to-dxc-technology-in-trade-secrets-row,TCS Asked To Pay $210 Million Fine To DXC Technology In Trade Secrets Row,27 Nov 2023,Outlook Business
Tata Lawsuits,google,https://www.thestar.com.my/tech/tech-news/2025/01/02/ibm-globalfoundries-settle-lawsuits-over-contract-trade-secrets,"IBM, GlobalFoundries settle lawsuits over contract, trade secrets",1 month ago,The Star
Tata Lawsuits,google,https://www.dutchnews.nl/2024/05/third-court-case-launched-against-tata-steel-calls-for-closure/,"Third court case launched against Tata Steel, calls for closure",27 May 2024,DutchNews.nl
Tata Lawsuits,bing,/news/search?q=site%3awww.businessinsider.in&FORM=NWBCLM,"Tata Consultancy Services, India’s second most valuable company by market cap after Reliance Industries, just got hit with its second lawsuit in five years for alleged theft of “trade secrets”.",5y,Business Insider India5y
Tata Lawsuits,bing,/news/search?q=site%3awww.hindustantimes.com&FORM=NWBCLM,"Dabur had launched a product called Schezwan 2024, which sparked the legal conflict, since Tata's Capital Foods owned the Schezwan Chutney trademark The Tata Group's Capital Foods has sued Dabur ...",18d,Hindustan Times18d
Tata Lawsuits,bing,/news/search?q=site%3awww.businessinsider.in&FORM=NWBCLM,"A US jury has ruled in favor of India’s IT outsourcing giant, Tata Consultancy Consultancy Services Ltd (TCS), in a lawsuit alleging the company had followed discriminatory hiring practices ...",6y,Business Insider India6y
Tata Lawsuits,bing,https://www.msn.com/en-in/news/other/here-s-why-nykaa-is-suing-tata-cliq-ceo-gopal-asthana/ar-AA1q29B2?ocid=BingNewsVerp,"The beauty and fashion e-commerce platform, Nykaa has filed a lawsuit against its former chief business officer, Aakash Asthana, who is now the chief executive officer of Tata Cliq Luxury.",5mon,Hosted on MSN5mon
Tata Lawsuits,bing,https://www.newsbytesapp.com/news/business/tata-acquires-60-stake-in-pegatron-india-apple-s-assembly-partner/story,Tata Electronics Private Limited (TEPL) has successfully acquired a 60% controlling stake in the Pegatron Technology India ...,10d,newsbytesapp.com10d
Tata Lawsuits,yahoo,https://r.search.yahoo.com/_ylt=AwrO6Pt4y6Bn5ism7C7QtDMD;_ylu=Y29sbwNncTEEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1738619896/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2findias-tcs-125-million-hit-115115682.html%3ffr%3dsycsrp_catchall/RK=2/RS=N5s1MTCwTigv9oqTZNQ5eF5BaMw-,India's TCS to take $125 million hit to Q3 earnings over US lawsuit,1 year ago ·,Reuters·  via Yahoo Finance
Tata Lawsuits,yahoo,https://r.search.yahoo.com/_ylt=AwrO6Pt4y6Bn5ism7i7QtDMD;_ylu=Y29sbwNncTEEcG9zAzIEdnRpZAMEc2VjA3Ny/RV=2/RE=1738619896/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2fmama-tata-influencer-candice-miller-224820000.html%3ffr%3dsycsrp_catchall/RK=2/RS=VC4ArfnChCy6d8.yK10C7MgU2vA-,Mama & Tata Influencer Candice Miller Saddled with Husband’s $33.6 Million Debt...,1 month ago ·,People·  via Yahoo News
Tata Lawsuits,yahoo,https://r.search.yahoo.com/_ylt=AwrO6Pt4y6Bn5ism8C7QtDMD;_ylu=Y29sbwNncTEEcG9zAzMEdnRpZAMEc2VjA3Ny/RV=2/RE=1738619896/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2freal-estate-mogul-husband-mama-191725327.html%3ffr%3dsycsrp_catchall/RK=2/RS=0363.rLq1eMDWaXpiBERb_Jd5ZU-,"Real estate mogul, husband of Mama + Tata influencer dead at 43",7 months ago ·,NY Post·  via Yahoo News
Tata Lawsuits,yahoo,https://r.search.yahoo.com/_ylt=AwrO6Pt4y6Bn5ism8i7QtDMD;_ylu=Y29sbwNncTEEcG9zAzQEdnRpZAMEc2VjA3Ny/RV=2/RE=1738619896/RO=10/RU=https%3a%2f%2fwww.aol.com%2fmama-tata-influencer-candice-miller-170622813.html/RK=2/RS=AWiBD_snvxH7ZYtMxmCwSgBlduE-,Mama & Tata Influencer Candice Miller Selling $15 Million Hamptons Home 1 Month...,6 months ago ·,People·  via AOL
Tata Lawsuits,yahoo,https://r.search.yahoo.com/_ylt=AwrO6Pt4y6Bn5ism9C7QtDMD;_ylu=Y29sbwNncTEEcG9zAzUEdnRpZAMEc2VjA3Ny/RV=2/RE=1738619896/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2fmama-tata-influencer-candice-miller-162003406.html%3ffr%3dsycsrp_catchall/RK=2/RS=9RkX7asPoB4kvsLqOgvYmpWrPfo-,Hundreds of Items Auctioned Off from Former Home of Mama & Tata Influencer...,1 month ago ·,People·  via Yahoo News
Tata Lawsuits,yahoo,https://r.search.yahoo.com/_ylt=AwrO6Pt4y6Bn5ism9i7QtDMD;_ylu=Y29sbwNncTEEcG9zAzYEdnRpZAMEc2VjA3Ny/RV=2/RE=1738619896/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2ftcs-revamps-organization-structure-leverage-082432871.html%3ffr%3dsycsrp_catchall/RK=2/RS=CPwKhl1K_0fVSn54ghVdA1VNf8s-,TCS Revamps Organization Structure to Leverage Domain Knowledge,2 years ago ·,Bloomberg·  via Yahoo Finance
Tata Lawsuits,yahoo,https://r.search.yahoo.com/_ylt=AwrO6Pt4y6Bn5ism.C7QtDMD;_ylu=Y29sbwNncTEEcG9zAzcEdnRpZAMEc2VjA3Ny/RV=2/RE=1738619896/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2ftech%2feverything-apple-says-wrong-doj-180017657.html/RK=2/RS=g8KDy_1Q95RdBeZvgULCXWRpVNk-,Everything Apple says is wrong about the DOJ’s iPhone lawsuit,10 months ago ·,Digital Trends·  via Yahoo News
Tata Lawsuits,yahoo,https://r.search.yahoo.com/_ylt=AwrO6Pt4y6Bn5ism.i7QtDMD;_ylu=Y29sbwNncTEEcG9zAzgEdnRpZAMEc2VjA3Ny/RV=2/RE=1738619896/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2finfluencer-candice-miller-selling-personal-181930540.html%3ffr%3dsycsrp_catchall/RK=2/RS=2rF9wy30mOBSiRzvZJWU2lKVIYU-,Influencer Candice Miller selling personal items after late husband amassed...,1 month ago ·,The Independent·  via Yahoo News
Tata Lawsuits,yahoo,https://r.search.yahoo.com/_ylt=AwrO6Pt4y6Bn5ism_C7QtDMD;_ylu=Y29sbwNncTEEcG9zAzkEdnRpZAMEc2VjA3Ny/RV=2/RE=1738619896/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fchief-executives-air-india-akasa-075037899.html%3ffr%3dsycsrp_catchall/RK=2/RS=LKh4yjYqxLfn19tUUJBd38ynUNk-,"Chief executives of Air India, Akasa joust over poaching of pilots",1 year ago ·,Reuters·  via Yahoo Finance
Tata Lawsuits,yahoo,https://r.search.yahoo.com/_ylt=AwrO6Pt4y6Bn5ism_i7QtDMD;_ylu=Y29sbwNncTEEcG9zAzEwBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1738619896/RO=10/RU=https%3a%2f%2fsports.yahoo.com%2fmessi-still-suarez-may-rest-214315586.html%3ffr%3dsycsrp_catchall/RK=2/RS=yEDqHxSg6by47YrE62wn9Uu0vpQ-,"Messi still out, Suarez may rest for Inter Miami vs. Tigres Leagues Cup game in...",6 months ago ·,Miami Herald·  via Yahoo Sports
Tata merger,google,https://the-ken.com/story/tata-tech-just-merge-with-tata-elxsi/,"Tata Tech, just merge with Tata Elxsi",3 days ago,The Ken
Tata merger,google,https://www.business-standard.com/companies/news/tata-capital-tata-motors-finance-merger-receives-rbi-s-approval-124101401020_1.html,"Tata Capital, Tata Motors Finance merger receives RBI's approval",14 Oct 2024,Business Standard
Tata merger,google,https://m.economictimes.com/markets/stocks/news/vedanta-ultratech-tata-motors-among-8-mergers-and-demergers-to-track/corporate-radar/slideshow/117677020.cms,"Vedanta, UltraTech, Tata Motors among 8 mergers and demergers to track",5 days ago,The Economic Times
Tata merger,google,https://www.cnbctv18.com/business/aviation/tata-sons-singapore-airlines-celebrate-vistaras-merger-with-air-india-19511222.htm,Tata Sons & Singapore Airlines celebrate Vistara’s merger with Air India,18 Nov 2024,CNBC TV18
Tata merger,google,https://upstox.com/news/business-news/latest-updates/explained-why-tata-capital-s-potential-ipo-impacting-tata-group-stocks-how-are-the-companies-linked/article-136880/,How are Tata Group companies linked? Why Tata Capital’s IPO could unlock value across conglomerate,1 month ago,Upstox
Tata merger,google,https://www.thehindubusinessline.com/companies/merger-with-tata-motors-finance-will-broaden-tata-capitals-product-portfolio-says-fitch/article68327326.ece,"Merger with Tata Motors Finance will broaden Tata Capital’s product portfolio, says Fitch",24 Jun 2024,The Hindu BusinessLine
Tata merger,google,https://skift.com/2024/09/17/air-india-vistara-merger-strategic-win-or-tatas-gamble/,Air India-Vistara Merger: Strategic Win or Tata’s Gamble?,17 Sept 2024,Skift
Tata merger,google,https://www.businesstoday.in/latest/corporate/story/bharti-airtel-tata-play-entity-may-not-have-representatives-from-tata-group-on-board-459793-2025-01-07,Bharti Airtel-Tata Play entity may not have representatives from Tata Group on board,4 weeks ago,Business Today
Tata merger,google,https://www.livemint.com/companies/news/air-india-vistara-merger-completes-singapore-airlines-to-invest-rs-3-194-5-crore-in-indias-largest-international-carti-11731413602450.html,Air India-Vistara merger completed: Tata-group airline becomes India’s largest international carrier; here’s how,12 Nov 2024,mint
Tata merger,google,https://www.livelaw.in/consumer-cases/cci-approves-proposed-merger-of-tata-motors-finance-limited-with-tata-capital-limited-269464,CCI Approves Proposed Merger Of Tata Motors Finance Limited With Tata Capital Limited,12 Sept 2024,Live Law
Tata merger,bing,https://www.business-standard.com/markets/ipo/tata-capital-sets-stage-for-ipo-with-articles-of-association-update-125013101256_1.html,"The company said its current shareholder base is around 29,000 and in order to avoid a situation where its shareholder base ...",2d,2d
Tata merger,bing,https://www.msn.com/en-in/money/news/tata-sons-seeks-cci-clearance-to-acquire-additional-10-pc-stake-in-tata-play/ar-AA1xNk2j?ocid=BingNewsVerp,"After the completion of the deal, Tata Sons will have a 70% holding in the entertainment content distribution platform.",9d,Press Trust of India on MSN9d
Tata merger,bing,https://www.business-standard.com/companies/news/tata-electronics-buys-60-stake-in-pegatron-s-india-arm-for-iphone-plant-125012400770_1.html,The announcement is coming after the Competition Commission of India (CCI) gave an approval to Tata Electronics to acquire ...,10d,10d
Tata merger,bing,https://www.msn.com/en-in/money/news/modi-govt-said-to-ditch-privatisation-plans-pour-billions-in-state-run-firms/ar-AA1xVLwK?ocid=BingNewsVerp,"Modi government shifts focus from privatisation to reviving state-run firms with billions in investments, facing opposition.",6d,6don MSN
Tata merger,bing,/news/search?q=site%3atrak.in&FORM=NWBCLM,“The Board of Directors of Tata Motors Ltd has approved a Composite Scheme of Arrangement involving the demerger of its CV business undertaking and the merger of Tata Motors Passenger Vehicles ...,21d,Trak.in - India Business Blog21d
Tata merger,bing,https://www.msn.com/en-in/news/India/3-years-of-air-india-under-the-tatas-the-hits-and-misses-of-maharajah/ar-AA1xSeW2?ocid=BingNewsVerp,"The group started with four airlines, one each which it started in collaboration with AirAsia Bhd and Singapore Airlines and ...",7d,7don MSN
Tata merger,bing,/news/search?q=site%3awww.thehindubusinessline.com&FORM=NWBCLM,Tata Steel Limited has been slapped with a penalty of ₹1.46 crore by Maharashtra’s Collector of Stamps for delayed filing of stamp duty application related to its merger with The Tinplate ...,21d,Business Line21d
Tata merger,bing,https://auto.economictimes.indiatimes.com/videos/tata-motors-new-energy-products-a-new-scv-to-attract-3w-customers-demerger-rationale-and-more/117359690,"A heavy duty battery electric truck, and a flexfuel small commercial vehicle are among 14 commercial vehicle showcases by ...",15d,ET Auto15d
Tata merger,bing,https://www.firstpost.com/sports/d-gukesh-tata-steel-chess-2025-wimbledon-of-chess-explained-13853301.html,"The Tata Steel Chess, which will be Gukesh Dommaraju’s first event since being crowned world champion in Singapore, gets ...",18d,18d
Tata merger,yahoo,https://r.search.yahoo.com/_ylt=AwrO6Pt6y6Bnq5Em1AzQtDMD;_ylu=Y29sbwNncTEEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1738619898/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fratan-tata-austere-indian-tycoon-150523359.html%3ffr%3dsycsrp_catchall/RK=2/RS=RagmfwakFoW_10zT5QN1P_TraYU-,"Ratan Tata, austere Indian tycoon who bought Jaguar Land Rover but lost a...",4 months ago ·,The Telegraph·  via Yahoo Finance
Tata merger,yahoo,https://r.search.yahoo.com/_ylt=AwrO6Pt6y6Bnq5Em1gzQtDMD;_ylu=Y29sbwNncTEEcG9zAzIEdnRpZAMEc2VjA3Ny/RV=2/RE=1738619898/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fdisney-strikes-deal-sell-stake-161500120.html%3ffr%3dsycsrp_catchall/RK=2/RS=uoSGEDlGUoEVI50mK7I4UOmPj2c-,"Disney strikes deal to sell stake in India's Tata Play, Bloomberg News reports",8 months ago ·,Reuters·  via Yahoo Finance
Tata merger,yahoo,https://r.search.yahoo.com/_ylt=AwrO6Pt6y6Bnq5Em2AzQtDMD;_ylu=Y29sbwNncTEEcG9zAzMEdnRpZAMEc2VjA3Ny/RV=2/RE=1738619898/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2findias-tata-sons-raises-stake-034639433.html%3ffr%3dsycsrp_catchall/RK=2/RS=WC6l_uSq77tpD.87474tuE5o710-,"India's Tata Sons raises stake in Tata Play, Temasek exits, Economic Times...",9 months ago ·,Reuters·  via Yahoo Finance
Tata merger,yahoo,https://r.search.yahoo.com/_ylt=AwrO6Pt6y6Bnq5Em2gzQtDMD;_ylu=Y29sbwNncTEEcG9zAzQEdnRpZAMEc2VjA3Ny/RV=2/RE=1738619898/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fdisney-said-sell-stake-tata-022649109.html%3ffr%3dsycsrp_catchall/RK=2/RS=pwI2o2BG.uFvr2z7_LRF.FiKO3Y-,Disney Is Said to Sell Stake in Tata’s India TV Platform,8 months ago ·,Bloomberg·  via Yahoo Finance
Tata merger,yahoo,https://r.search.yahoo.com/_ylt=AwrO6Pt6y6Bnq5Em3AzQtDMD;_ylu=Y29sbwNncTEEcG9zAzUEdnRpZAMEc2VjA3Ny/RV=2/RE=1738619898/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fair-india-ceo-meets-india-112842687.html%3ffr%3dsycsrp_catchall/RK=2/RS=XusYpplxUKenJ6uqTxR28D33LMI-,Air India CEO meets India antitrust chief on pending Vistara merger -sources,2 years ago ·,Reuters·  via Yahoo Finance
Tata merger,yahoo,https://r.search.yahoo.com/_ylt=AwrO6Pt6y6Bnq5Em3gzQtDMD;_ylu=Y29sbwNncTEEcG9zAzYEdnRpZAMEc2VjA3Ny/RV=2/RE=1738619898/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fair-india-strives-revive-fortunes-153729188.html%3ffr%3dsycsrp_catchall/RK=2/RS=fz0IqVuL5G827H39B.ATatoN2Vg-,Air India strives to revive its fortunes with Tata money,2 years ago ·,Reuters·  via Yahoo Finance
Tata merger,yahoo,https://r.search.yahoo.com/_ylt=AwrO6Pt6y6Bnq5Em4AzQtDMD;_ylu=Y29sbwNncTEEcG9zAzcEdnRpZAMEc2VjA3Ny/RV=2/RE=1738619898/RO=10/RU=https%3a%2f%2fwww.aol.com%2fdeal-create-one-world-largest-114826582.html/RK=2/RS=ChxZGesPenrUBhHHIS_C8Z.fOaY-,Deal to create one of world’s largest airline groups gets regulator approval,5 months ago ·,The Independent US·  via AOL
Tata merger,yahoo,https://r.search.yahoo.com/_ylt=AwrO6Pt6y6Bnq5Em4gzQtDMD;_ylu=Y29sbwNncTEEcG9zAzgEdnRpZAMEc2VjA3Ny/RV=2/RE=1738619898/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fsingapore-airlines-gets-indias-fdi-004403487.html%3ffr%3dsycsrp_catchall/RK=2/RS=.qHxXOHYcV8s8Qu_X36af9Pcsl8-,Air India to operate Vistara flights from November as merger gets key approval,5 months ago ·,Reuters·  via Yahoo Finance
